Katherine Dunham,kdunham,dancer,,,,,,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories,Place ID,Legacy City,Legacy State,Legacy Country
"Paris, France",1953-01-09,,"Clark and Johnson 2005, 353",,1953-02,"Clark and Johnson 2005, 353",Performs Southland at Palais Chaillot; departure date is estimate and need to figure out how many weeks of performance; premier was January 09 1953. Says she performed for 6 weeks,,,,Paris,,France
"Paris, France",1953-02-01,,Love Letters from I Tatti vol 2,,1953-02-01,Love Letters from I Tatti vol 2,"Writes to Berenson from c/o Felix Marouani, 24 Rue Marbeuf, about Southland",,,,Paris,,France
"Paris, France",1953-02-14,,Love Letters from I Tatti vol 2,,1953-02-14,Love Letters from I Tatti vol 2,Telegram to Berenson from Paris,,,,Paris,,France
"Las Vegas, Nevada, USA",1953-03,,Das 2014,,1953-03,Das 2014,Nightclub performances,,,,Las Vegas and Los Angeles,Nevada and California,US
"Las Vegas, Nevada, USA",1953-05-30,,Love Letters from I Tatti,,1953-05-30,Love Letters from I Tatti,"Writes to Berenson from El Ranco Vegas, Las Vegas",,,,Las Vegas,Nevada ,US
"Las Vegas, Nevada, USA",1953-06,,Das 2014,,1953-06,Das 2014,Dunham depressed about racism in Las Vegas,,,,Las Vegas,Nevada,US
"Reno, Nevada, USA",1953-06-17,,Love Letters from I Tatti vol 2,,1953-06-17,Love Letters from I Tatti vol 2,"Writes to Berenson from Mapes Hotel, Reno",,,,Reno,Nevada,US
"Los Angeles, California, USA",1953-10-12,,Das 2014,,1953-10-22,Das 2014,4-5 shows a day in variety theatre,,,,Los Angeles,California,US
"Rome, Italy",1953-11,,Das 2014,,1954-02,Das 2014,Rehearsing film of Mambo,,,,Rome,,Italy
Germany,1954-04,,Fischer-Hornung,,1954-04,Fischer-Hornung,Dunham's tours of Germany,,,,,,Germany
Switzerland,1954-06,,"Dunham, ""Love Letters From I Tatti""",,1954-06,"Dunham, ""Love Letters From I Tatti""",Performing in Switzerland,,,,,,Switzerland
"Montevideo, Uruguay",1954-08-28,,"Clark and Johnson 2005, 356",,1954-09-04,"Clark and Johnson 2005, 356",Start of second Latin America tour; performs at same time as José Limón,,,,Montevideo,,Uruguay
"Buenos Aires, Argentina",1954-10,,"Dunham, ""Love Letters From I Tatti""",,1954-10,"Dunham, ""Love Letters From I Tatti""","Premieres ""Tango"" in Buenos Aires",,,,Buenos Aires,,Argentina
"Las Vegas, Nevada, USA",1955-02-22,,"Dunham, ""Love Letters From I Tatti""",,1955-03-14,"Dunham, ""Love Letters From I Tatti""",Performing at Sahara nightclub,,,,Las Vegas,Nevada,US
"Los Angeles, California, USA",1955-03,,"Dunham, ""Love Letters From I Tatti""",,1955-04,"Dunham, ""Love Letters From I Tatti""",Performing at Ciro's nightclub,,,,Los Angeles,California,US
